0,1,2,3
[제주/한림] #애견동반 가능 #논밭뷰 #복층다락방 '스테이 앤틱',"한달살기 하면서 날씨도 좋고 모든게 좋았습니다~~단지내에 계시던 주민모두 너무 친절 하셨구요~직접 기른 상추,고추 등등 쌈 야채도 챙겨주시고 아이들은 잔디에서 매뚜기 방아깨비 달팽이도 잡고 아주 즐거워 했습니다~단점이라면 마트가 거리가 좀 있는데 치킨같은것도 배달 전부 되고 택배도 잘 받고 보내고 했습니다~~또 가고 싶네요~^^",2022년 12월,100
[제주/한림] #애견동반 가능 #논밭뷰 #복층다락방 '스테이 앤틱',"일년을 고민 끝에 떠난 제주도,,,
자는 곳이 제일 중해서 고심 끝에 결정했습니다,,,
결론은 너무 잘 쉬다 왔어요,,,
동네도 조용하고,,,집도 깔끔하고,,,마음에 들었답니다,,,
행복한 여행이였어요,,,",2022년 12월,100
[제주/한림] #애견동반 가능 #논밭뷰 #복층다락방 '스테이 앤틱',"퇴사하고 퇴직금 털어서 부모님 모시고 다녀왔습니다.
독채는 신경쓸게 많을 것 같아서 좀 깨끗하고 오래되지 않은 곳으로 알아보게 됐어요. 
스테이도 깔끔하고 주변도 조용해서 잘 쉬다 왔습니다.
주변에 편의시설이 없긴 하지만 일부로 조용한 곳으로 알아본거라 뭐 불편하진 않았어요ㅎㅎ
근처 식당 중에는 흑심가랑 부원뚝배기 맛있어요ㅎㅎ",2022년 12월,100
[제주/한림] #애견동반 가능 #논밭뷰 #복층다락방 '스테이 앤틱',"9/1부터 2주간 제주에서 지내기 위해서 정한 스테이입니다. 큰도로에서 좀 들어와 조용한 곳에 위치하였는데 애월,협재,곽지 해수욕장이 아주 가까워서 아이와 놀러다니기 좋았어요 다만 차는 꼭 있어야 하는 위치구요. 근처 한림공원, 애월해안도로, 생각하는 정원, 금오름,새별오름도 가까웠습니다. 
스테이상태는 그릇과 냄비등 주방에서 필요한 것들이 충분히 구비되어 있었으며, 이불도 깨끗했어요. 
친정엄마가 깔끔하셔서 오자마자 걸레로 닦고 했는데 청소도 잘 되어 있었고  넷플릭스,인터넷티비도 잘 나왔습니다. 
온수, 냉수 수압도 괜찮았고, 안방과 거실의 에어컨이 있어서 지내기에 불편함이 없었으며 9월이 되어 그런지 문열면 주방과 거실에서 맞바람이 들어 아주 시원합니다.  그리고 거실 창으로 아주 멀리 바다가 보여요. 날이 개면 낙조도 예쁘고 좋습니다 

잘 지내다가 윗집에 들어오신 여행객들이 아이들이 있어서인지 밤늦게 좀 쿵쿵거리셔서 호스분께 말씀드리니 관리실에 말씀해 주신다고 하시고 컴플레인 에 잘 대응해주시는것 같았습니다. 

주변에 마트는 신제주 이마트가 제일 크며  근처 하나로 마트가 종종있어서 처음 들어올때 크게 이마트에서 장보고 나중엔 하나로 마트에서 소소하게 장을 봤어요. 

한적한 곳이지만, 차만 있으면 어디든 근방에 모두 있어서 지내기 괜찮습니다. 
",2022년 9월,100
[제주/한림] #애견동반 가능 #논밭뷰 #복층다락방 '스테이 앤틱',"4층이지만 엘리베이터가 있어서 전혀불편함 없이 생활했어요. 스테이상태가 너무좋아서 기분좋았어요.관리도 잘하셨고 생긴지 얼마 안되서인지 모든게 깔끔하고 편했어요.
차타고 조금만 나가면 마트도많고 바다도있고 좋았습니다.동네는 대체로 조용했어요
복층 다락이 생각보다 너무 넓어서 아이가놀기에도 좋았고.저렴한 금액에 가족들모두 편히 잘쉬다갑니다.재방문 생각할 정도로 만족 스러운 스테이였어요.추천합니다.",2022년 6월,100
[제주/한림] #애견동반 가능 #논밭뷰 #복층다락방 '스테이 앤틱',한 달 간 잘 지내다 왔습니다.. 오래되지 않은 건물이라 깨끗하고 도시가스인지 난방비도 많이 비싸지 않습니다.  거실창에서 바다가 내다보이고 한림항까자 차로  십분 내외인지라  생활하기에 더할나위 없는 좋은 위치 입니다. 방마다 개별난방에 김치 냉장고까지 구비되어 편리합니다. 이 집에서 주~~욱 살고 싶네요.  한달이 너무 짧았어요,2022년 1월,100
[제주/한림] #애견동반 가능 #논밭뷰 #복층다락방 '스테이 앤틱',"주변 풍경도 너무 좋고 집도 깔끔하고 좋네요
사장님도 친절하시고 한달 간 잘 쉬다가 갑니다",2021년 10월,100
[제주/한림] #애견동반 가능 #논밭뷰 #복층다락방 '스테이 앤틱',7월에서 8월 사이 제주 한달살기 했어요. 급하게 구했는데 조건이 아주 만족스럽고 좋은집 잘 구했습니다. 입주한지도 오래되지 않은 새집이라 매우 깨끗했어요. 전망도 확트여 저녁 노을질때 정말 예술인 뷰 였답니다. 세탁기랑 식기류등 모두 깨끗하게 사용할수있어 더 좋았구요.  주변이 시끄럽지않고 조용해서 참 좋았어요. 또 가고 싶은 집이네요.,2021년 8월,100
[제주/한림] #애견동반 가능 #논밭뷰 #복층다락방 '스테이 앤틱',한달간 내집에 온것처럼 편안했고 즐거웠읍니다 내년에 다시 가길원합니다 또한 제주도늘 더욱더 알게되 좋았읍니다,2021년 6월,100
[제주/한림] #애견동반 가능 #논밭뷰 #복층다락방 '스테이 앤틱',"개인적으로 앤틱한 가구들을 너무 좋아하는데 깔끔한 집에 제가 좋아하는 앤틱한 가구들이 가득해서 있는 동안 너무 좋았습니다!
저희 집에도 이렇게 인테리어하면 좋겠다 싶어요 ^^
깔끔하게 청소도 잘 되어있고 있는 동안 불편함 전혀 없이 너무 잘 지냈습니다.",2021년 6월,100
[제주/한림] #애견동반 가능 #논밭뷰 #복층다락방 '스테이 앤틱',"우와 스테이가 정말 멋스럽다라고 느껴졌어요~~
신기한게 다락방이 있더라구요. 
저희 애들이 진짜 좋아해서 제가 더 기분이 좋았네요 ^^ 다락방이라고 좁은게 아니라 은근 넓어서 더 좋았어요~
집 분위기가 되게 좋았는데, 가구들 덕분이었던 것 같아요. 정말 멋스럽고 클래식하다는게 딱 보면 느껴져요
스테이에서 좋은 추억 만들고 갑니다 ^^ 다음 가족여행도 이 곳을 임대하고 싶어요~
",2021년 5월,100
[제주/한림] #애견동반 가능 #논밭뷰 #복층다락방 '스테이 앤틱',너무 깔끔한 집이었어요. 창밖으로 보이는 뻥 뚫린 뷰는 아파트 숲에서만 살던 제게 정말 힐링되는 시간이었어요! 창밖만 보고 있어도 넘 좋았네요. 빌라형태라 아무래도 벌레도 많이 없는 것 같고 너무 좋았네요!,2021년 3월,100
[제주/한림] #애견동반 가능 #논밭뷰 #복층다락방 '스테이 앤틱',"넓고 깔끔하고 좋았어요
한달동안 머물기 최적의 장소가 아닐까 하는 생각이 듭니다
앤틱한 가구들 덕분에 분위기가 아주 좋았습니다
차분한 분위기가 아주 좋았어요 
다락방도 아주 시원시원하게 있더군요 
침대도 푹신하고 에어컨도 잘 작동합니다
한달동안 즐거운 추억 만들다 갑니다 ",2020년 8월,100
[제주/한림] #애견동반 가능 #논밭뷰 #복층다락방 '스테이 앤틱',"편한 아파트 느낌입니다
약간 층간소음은 있지만 문제없습니다

다음에 다시 기회되면 한달살이 다시 오고 싶습니다. 집기류 빵빵해서 편허게 쉬고 즐기다 갑니다. 감사합니다",2023년 6월,80
[제주/한림] #애견동반 가능 #논밭뷰 #복층다락방 '스테이 앤틱',"28개월 애기랑 셋이서 한달 머물었습니다
앞에 소철밭이고 주변에 사람이 많이안다녀서 한적하니 좋아요. 엘리베이터있고 식자재빼곤 그릇이랑 기본집기류들은 다있습니다 무엇보다 의류건조기능되는 제습기가 있어서 도움많이 되었어요
보름쯤 윗층 인테리어 공사로 소음이 약간 아쉬웠으나 나머지는 모두 굿굿
집근처 돈치킨 맛있습니당 하나로마트도 가까워서 좋아요
다만 이런안내를 추가해주시면 더 도움될것같애요
음쓰버리려면 티머니교통카드 꼭 필요!!
",2023년 5월,80
[제주/한림] #애견동반 가능 #논밭뷰 #복층다락방 '스테이 앤틱',한달동안 가족 모두가 잘 지내다 왔습니다~! 방이 세칸이나 있어서 편하게 잘 수 있었고 거실에서 보이는 뷰가 너무 좋았어요 바로 앞 소철밭이 넓게 있고 그 너머로 바다가 보이는데 노을이 멋있는 날이면 창 밖만 보고 있어도 행복했습니다 시끄러운 도심 한가운데 살다가 조용하디 조용한 동네에 있으니 절로 힐링이 되더라구요 편의점도 없고 아무것도 없는 동네는 큰 장점이자 단점이었기에 차가 필수로 필요한 곳입니다 걸어서 십분 거리에 흑돼지집이 아주 맛있었으나 해가 지면 가로등없는 깜깜한 거리를 걸어와야해서 차는 필수입니다 ,2022년 10월,80
